category,hilarious,funny,normal,bad,horrible
Animal,1,0,0,0,0
At Work,0,0,0,0,0
Aviation,0,0,0,0,0
Bar,0,0,0,0,0
Blind,0,0,0,0,0
Blonde,0,0,0,0,0
Business,0,0,0,0,0
Children,0,0,0,0,0
College,0,0,0,0,0
Computers,0,0,0,0,0
Crazy,0,0,0,0,0
Deep Thoughts,0,0,0,0,0
English,0,0,0,0,0
Ethnic,0,0,0,0,0
"Family, Parents",0,0,0,0,0
Farmer,0,0,0,0,0
Food,0,0,0,0,0
Gross,0,0,0,0,0
Heaven and Hell,0,0,0,0,0
Holiday,0,0,0,0,0
Idiot,0,0,0,0,0
Insult,0,0,0,0,0
Knock-Knock,0,0,0,0,0
Lawyer,0,0,0,0,0
Light Bulb,0,0,0,0,0
Love & Romance,0,0,0,0,0
Marriage,0,0,0,0,0
Medical,0,0,0,0,0
Men,0,0,0,0,0
Men / Women,0,0,0,0,0
Military,0,0,0,0,0
Miscellaneous,0,0,0,0,0
Money,0,0,0,0,0
Music,0,0,0,0,0
News / Politics,0,0,0,0,0
Office,0,0,0,0,0
Old Age,0,0,0,0,0
One Liner,0,1,0,0,0
Police,0,0,0,0,0
Political,0,0,0,0,0
Pun,0,0,0,0,0
Redneck,0,0,0,0,1
Religious,0,0,0,0,0
School,0,0,0,0,0
Science,0,0,0,0,0
Sex,0,0,0,0,0
Sport,0,0,0,0,0
State,0,0,0,0,0
Tech,0,0,0,0,0
Women,0,0,0,0,0
Yo Momma,0,0,0,0,0
